display,RID code,LP code
US,LP207608-3,RID10326
Doppler,LP207609-1,RID10375
IV,LP200078-6,RID11160
Pelvis,LP199998-8,RID2507
Penis vessels,LP208051-5,RID49825
W,LP200088-5,RID49853
Vasodilator,LP432424-2,RID50652
NM,LP208891-4,RID10330
Tl-201,LP208673-6,RID11753
Views,LP221404-9,RID49567
Neck,LP199995-4,RID7488
Thyroid gland,LP206648-0,RID7578
XR,LP212285-3,RID10345
View,LP222059-0,RID43399
lateral,LP220572-4,RID43591
Head,LP199977-2,RID9080
Sella turcica,LP199945-9,RID9286
Upper extremity,LP200031-5,RID1850
True,LP199954-1,RID49844
Left,LP199952-5,RID5824
Radius,LP221452-8,RID2109
Ulna,LP221453-6,RID2119
Bones,LP212843-9,RID28569
Metastasis,LP206728-0,RID5231
XXX,LP213584-8,RID6062
Cryoablation,LP263435-2,RID1754
Breast,LP199961-6,RID28749
Guidance,LP200066-1,RID35732
Right,LP199953-3,RID5825
MR,LP206549-0,RID10312
Bone,LP209032-4,RID13197
Contrast,LP200085-1,RID11582
Peritoneum,LP249174-6,RID410
Percutaneous intraperitoneal,LP249308-0,RID50257
Abdomen,LP199956-6,RID56
Percutaneous,LP200057-0,RID11176
Kidney,LP200461-4,RID205
Biopsy,LP200041-4,RID38611
Chest,LP199962-4,RID1243
Spine.thoracic,LP200020-8,RID28677
Views 2,LP220530-2,RID43403
AP,LP220552-6,RID43583
Tc-99m,LP208899-7,RID50051
Gastrointestinal tract,LP208558-9,RID94
Pregnancy,LP207970-7,RID4941
Fetus,LP207308-0,RID5640
Retroperitoneum,LP199943-4,RID431
Right upper quadrant,LP208105-9,RID29994
Angio,LP200068-7,RID10371
Abdominal vessels,LP207131-6,RID49921
Acetabulum,LP230195-2,RID2564
Lower extremity,LP199985-5,RID2638
Unspecified,LP199955-8,RID49843
Acromioclavicular joint,LP207519-2,RID1895
Aspiration,LP200039-8,RID10398
Uterus,LP200033-1,RID302
Amniotic fluid,LP208080-4,RID49955
Ankle,LP199957-4,RID28545
WO & W,LP200090-1,RID49855
Anus,LP199912-9,RID164
RF,LP220472-7,RID10361
Angioplasty,LP266841-8,RID11031
IA,LP200071-1,RID11108
Aorta.thoracic,LP199915-2,RID879
Aorta.abdominal,LP199914-5,RID905
CT,LP200067-9,RID10321
Appendix,LP199917-8,RID168
Upper extremity vessels,LP207136-5,RID49863
Upper extremity veins,LP207302-3,RID49944
AV fistula,LP208115-8,RID4851
Intra stent,LP248711-6,RID50256
Stent,LP249196-9,RID5598
Embolus,LP411245-6,RID4825
Intracranial vessel,LP249824-6,RID50268
Removal,LP263431-1,RID50349
Embolization,LP264920-2,RID10404
Artery,LP208397-2,RID478
Placement,LP200050-5,RID28707
Stent,LP248514-4,RID5598
Drainage,LP200044-8,RID10417
Drainage catheter,LP419078-3,RID5579
Portable,LP221204-3,RID10383
AP L-lateral-decubitus,LP220554-2,RID10425
L-lateral-decubitus,LP245417-3,RID10425
R-lateral-decubitus,LP245418-1,RID10424
AP R-lateral-decubitus,LP220555-9,RID10424
upright,LP220611-0,RID10455
Atherectomy,LP220387-7,RID10401
AV shunt,LP251116-2,RID4851
Retrograde,LP248753-8,RID13046
Biliary duct.common,LP249841-0,RID199
Calculus,LP248522-7,RID4994
Biliary ducts,LP199919-4,RID45712
Sincalide,LP208897-1,RID50042
Patency of biliary structures,LP248198-6,RID50263
Radionuclide,LP208665-2,RID11692
Gallbladder,LP199926-9,RID187
Ejection fraction,LP213667-1,RID45645
during surgery,LP266371-6,RID39334
Percutaneous transhepatic,LP249307-2,RID50258
Urinary bladder arteries,LP249111-8,RID50277
SPECT,LP208892-2,RID10334
Survey,LP266956-4,RID28819
Bones.long,LP213632-5,RID34436
Brachiocephalic artery,LP207965-7,RID582
Subclavian artery,LP206663-9,RID773
Brachial artery,LP230315-6,RID865
Brachial plexus,LP206634-0,RID7202
Thoracic inlet vessels,LP207366-8,RID49941
Stereotactic biopsy,LP200054-7,RID45699
Anesthesia,LP200083-6,RID11006
Brain,LP206702-5,RID6434
Tc-99m HMPAO,LP208688-4,RID11733
Brain death protocol,LP266852-5,RID34681
Head vessels,LP207133-2,RID49926
MG,LP208647-0,RID10357
Cyst,LP249802-2,RID3890
Mass,LP266903-6,RID3874
Needle localization,LP200048-9,RID45700
Breast specimen,LP208696-7,RID50050
Fluid,LP263835-3,RID1547
Limited,LP200099-2,RID5684
Stereotactic,LP249730-5,RID50260
Diagnostic,LP263806-4,RID39446
Screening,LP200187-5,RID28817
Biopsy.core needle,LP200042-2,RID49777
Calcaneus,LP221482-5,RID2959
Carotid artery.extracranial,LP249577-0,RID35846
Carotid artery.intracranial,LP249578-8,RID605
Carotid arteries,LP208124-0,RID38751
Wrist,LP221474-2,RID2177
Patency,LP266957-2,RID11506
Check,LP251102-2,RID49632
Catheter,LP249200-9,RID5576
Celiac artery,LP249105-0,RID906
Nerve block,LP200049-7,RID35774
Celiac plexus,LP199920-2,RID49533
Vein,LP207957-4,RID1008
Change,LP249806-3,RID49896
Central venous catheter,LP248513-6,RID5578
Reposition,LP248515-1,RID50359
Placement check,LP267668-4,RID49632
